Date and Time,Humidity,Temperature,CO2,CO,PM2.5 Density
2024-07-03 23:05:32,82,31.3000,300.3472,0.2572,21.3946
2024-07-03 23:05:52,82,31.3000,301.5896,0.2587,22.9578
2024-07-03 23:06:12,82,31.3000,300.5564,0.2575,8.3024
2024-07-03 23:06:32,82,31.3000,300.9178,0.2579,15.1416
2024-07-03 23:06:52,82,31.3000,301.6495,0.2588,10.2565
2024-07-03 23:07:12,82,31.3000,300.9134,0.2579,21.7854
2024-07-03 23:07:32,82,31.3000,305.0947,0.2628,19.2451
2024-07-03 23:07:52,82,31.3000,308.6270,0.2669,12.7967
2024-07-03 23:08:12,82,31.3000,307.0980,0.2651,19.2451
2024-07-03 23:08:32,82,31.3000,309.8428,0.2684,12.7967
2024-07-03 23:08:52,82,31.3000,310.2805,0.2689,17.6819
2024-07-03 23:09:12,82,31.3000,307.4338,0.2656,8.8886
2024-07-03 23:09:32,82,31.3000,305.4760,0.2633,10.4519
2024-07-03 23:09:52,82,31.3000,303.7975,0.2613,24.7165
2024-07-03 23:10:12,82,31.3000,300.8064,0.2578,25.1073
2024-07-03 23:10:32,82,31.3000,296.8229,0.2531,16.9003
2024-07-03 23:10:52,82,31.3000,297.3684,0.2538,22.1762
2024-07-03 23:11:12,82,31.3000,296.3131,0.2525,16.7048
2024-07-03 23:11:32,82,31.3000,297.0266,0.2534,9.6703
2024-07-03 23:11:52,82,31.3000,292.4213,0.2479,25.6935
2024-07-03 23:12:12,82,31.3000,292.5096,0.2480,23.9348
2024-07-03 23:12:32,82,31.3000,290.9942,0.2463,15.1416
2024-07-03 23:12:52,82,31.3000,294.6054,0.2505,26.4751
2024-07-03 23:13:12,82,31.3000,294.5197,0.2504,17.6819
2024-07-03 23:13:32,82,31.3000,293.4547,0.2491,19.0497
2024-07-03 23:13:52,82,31.3000,297.0767,0.2534,12.4059
2024-07-03 23:14:12,82,31.3000,292.4276,0.2479,14.7508
2024-07-03 23:14:32,82,31.3000,290.4281,0.2456,17.4865
2024-07-03 23:14:52,82,31.3000,290.6703,0.2459,23.1532
2024-07-03 23:15:12,82,31.3000,291.8399,0.2473,28.8200
2024-07-03 23:15:32,82,31.3000,291.3139,0.2466,9.6703
2024-07-03 23:15:52,82,31.3000,291.8622,0.2473,22.1762
2024-07-03 23:16:12,82,31.3000,288.1724,0.2430,15.1416
2024-07-03 23:16:32,82,31.3000,288.8653,0.2438,13.1876
2024-07-03 23:16:52,82,31.3000,289.6810,0.2447,15.5324
2024-07-03 23:17:12,82,31.3000,286.0589,0.2405,18.0727
2024-07-03 23:17:32,82,31.3000,289.1009,0.2440,26.2797
2024-07-03 23:17:52,82,31.3000,291.7112,0.2471,23.9348
2024-07-03 23:18:12,82,31.3000,290.9914,0.2462,0.0000
2024-07-03 23:18:32,82,31.3000,288.7001,0.2436,9.2795
2024-07-03 23:18:52,82,31.3000,287.4260,0.2421,0.0000
2024-07-03 23:19:12,82,31.3000,288.5577,0.2434,0.0954
2024-07-03 23:19:32,82,31.3000,287.9376,0.2427,19.2451
2024-07-03 23:19:52,81,31.3000,287.1592,0.2418,14.7508
2024-07-03 23:20:12,81,31.3000,289.0423,0.2440,20.4175
2024-07-03 23:20:32,81,31.3000,288.3415,0.2432,16.1186
2024-07-03 23:20:52,81,31.3000,285.7701,0.2402,18.6589
2024-07-03 23:21:12,81,31.3000,284.1414,0.2383,30.7740
2024-07-03 23:21:32,81,31.3000,286.7918,0.2414,15.9232
2024-07-03 23:21:52,81,31.3000,287.0282,0.2416,23.1532
2024-07-03 23:22:12,81,31.3000,287.7858,0.2425,16.3140
2024-07-03 23:22:32,81,31.3000,288.6237,0.2435,2.4403
2024-07-03 23:22:52,81,31.3000,291.0278,0.2463,12.4059
2024-07-03 23:23:12,81,31.3000,291.5443,0.2469,8.3024
2024-07-03 23:23:32,81,31.3000,289.6613,0.2447,19.8313
2024-07-03 23:23:52,81,31.3000,291.0820,0.2463,26.2797
2024-07-03 23:24:12,81,31.3000,289.6949,0.2447,4.1989
2024-07-03 23:24:32,81,31.3000,289.9458,0.2450,12.2105
2024-07-03 23:24:52,81,31.3000,284.6014,0.2389,23.1532
2024-07-03 23:25:12,81,31.3000,285.8987,0.2404,12.4059
2024-07-03 23:25:32,81,31.3000,283.9231,0.2381,33.9005
2024-07-03 23:25:52,81,31.3000,282.0328,0.2359,15.3370
2024-07-03 23:26:12,81,31.3000,278.1415,0.2315,22.9578
2024-07-03 23:26:32,81,31.3000,277.3701,0.2306,32.3373
2024-07-03 23:26:52,81,31.3000,277.4530,0.2307,28.2337
2024-07-03 23:27:12,81,31.3000,275.0527,0.2280,17.4865
2024-07-03 23:27:32,81,31.3000,277.9037,0.2313,12.4059
2024-07-03 23:27:52,81,31.3000,275.0356,0.2280,28.8200
2024-07-03 23:28:12,81,31.3000,276.4215,0.2295,10.2565
2024-07-03 23:28:32,81,31.3000,276.4215,0.2295,21.7854
2024-07-03 23:28:52,81,31.3000,277.9736,0.2313,14.7508
2024-07-03 23:29:12,81,31.3000,279.9492,0.2336,11.0381
2024-07-03 23:29:32,81,31.3000,283.2600,0.2373,9.0840
2024-07-03 23:29:52,81,31.3000,284.0314,0.2382,19.2451
2024-07-03 23:30:12,81,31.3000,281.4975,0.2353,28.6246
2024-07-03 23:30:32,80,31.3000,282.8641,0.2369,21.5900
2024-07-03 23:30:52,80,31.3000,279.7891,0.2334,26.4751
